student_id_number,term_code,class_nbr,completed_flag,official_grade,acad_plan,hours_carried
52377,3,5060,1,A,BS1937,18
52379,3,6111,1,A,ND1206,15
52379,3,6507,1,B+,ND1206,15
52381,3,6077,1,A,ND1220,15
52382,3,6125,1,C+,ND1206,15
52382,3,6516,1,B-,ND1206,15
52385,5,7884,1,D+,BB6121,14.5
52385,3,6076,1,B+,ND1201,16
52385,6,5943,1,S,BS8119,13
52386,3,5168,0,DROP,BS7251,17
52386,3,5062,1,B,BS7251,17
52386,4,5916,1,A-,BS7251,15
52387,4,5953,1,A-,BS2507,12
52388,4,5953,1,A,ND0610,12
52390,3,6106,1,B+,BA4253,15
52391,4,4975,1,C-,BS2127,17
52391,4,5930,1,A,BS2127,17
52391,4,5092,0,DROP,BS2127,17
52391,3,6511,1,B,BS2127,16
52393,3,6612,0,WP,ND8835,19
52393,3,6267,1,C+,ND8835,19
52394,4,5944,0,I,BA4101,17
52394,4,6276,1,C+,BA4101,17
52395,3,9889,0,FS,ND1206,15
52396,3,9887,1,C-,ND1105,15
52396,3,6089,1,B,ND1105,15
52396,4,6271,1,B-,ND1105,20.5
52397,3,6068,1,C,BS8119,14
52397,4,6273,1,C+,BS8119,17
52398,4,4975,1,A,BS2121,15
52398,4,5913,1,A-,BS2121,15
52398,4,5144,0,DROP,BS2121,15
52399,4,4974,1,C,BS2522,18
52399,4,5925,1,A-,BS2522,18
52399,4,5125,0,DROP,BS2522,18
52400,3,5066,0,DROP,BS7274,15
52400,3,5060,1,A-,BS7274,15
52401,4,4975,1,A,BS2127,17
52401,4,5144,0,DROP,BS2127,17
52402,4,5935,1,B+,BB6125,15
52403,3,6102,1,A-,ND9961,15
52404,3,6096,1,A,ND5368,16
52409,3,6079,1,B+,BC5363,16
84468,2,6431,1,B,ND0210,15
52413,4,11038,1,B,BB6124,15
69075,5,7878,0,WP,ND1206,16
69075,5,7521,0,WP,ND1206,16
52414,4,4974,1,D-,BS4232,12
52414,4,5125,0,DROP,BS4232,12
52415,4,6271,1,A,BS2522,17
52421,3,14546,0,DROP,ND1202,10
52421,3,14508,0,DROP,ND1202,10
52423,4,5951,1,A,BM5107,20
52425,3,5065,0,DROP,BS3311,19
52425,4,5929,1,A,BS3314,20
52425,3,5060,1,B-,BS3311,19
